Link, AS_chicon, L2-HOST8-LINK11, 0.000000, 0.000000, 0.000000, topology, chicon-18.lille.grid5000.fr, AS_chicon_link_18_DOWN, 5602
Link, AS_chicon, L2-HOST8-LINK11, 0.000000, 0.000000, 0.000000, topology, chicon-21.lille.grid5000.fr, AS_chicon_link_21_UP, 5603
Link, AS_chicon, L2-HOST8-LINK11, 0.000000, 0.000000, 0.000000, topology, chicon-4.lille.grid5000.fr, AS_chicon_link_4_UP, 5605
Link, AS_chicon, L2-HOST8-LINK11, 0.000000, 0.000000, 0.000000, topology, chicon-22.lille.grid5000.fr, AS_chicon_link_22_UP, 5606
Link, AS_chicon, L2-HOST8-LINK11, 0.000000, 0.000000, 0.000000, topology, chicon-23.lille.grid5000.fr, AS_chicon_link_23_UP, 5607
Link, AS_chicon, L2-HOST8-LINK11, 0.000000, 0.000000, 0.000000, topology, chicon-24.lille.grid5000.fr, AS_chicon_link_24_UP, 5608
Link, AS_chicon, L2-HOST8-LINK11, 0.000000, 0.000000, 0.000000, topology, chicon-25.lille.grid5000.fr, AS_chicon_link_25_UP, 5610
Link, AS_chicon, L2-HOST8-LINK11, 0.000000, 0.000000, 0.000000, topology, chicon-8.lille.grid5000.fr, AS_chicon_link_8_UP, 5611
Link, AS_chicon, L2-HOST8-LINK11, 0.000000, 0.000000, 0.000000, topology, chicon-26.lille.grid5000.fr, AS_chicon_link_26_UP, 5612
Link, AS_chicon, L2-HOST8-LINK11, 0.000000, 0.000000, 0.000000, topology, chicon-4.lille.grid5000.fr, AS_chicon_link_4_DOWN, 5618
Link, AS_chicon, L2-HOST8-LINK11, 0.000000, 0.000000, 0.000000, topology, chicon-8.lille.grid5000.fr, AS_chicon_link_8_DOWN, 5623
Link, AS_chicon, L2-HOST8-LINK11, 0.000000, 0.000000, 0.000000, topology, chicon-3.lille.grid5000.fr, AS_chicon_link_3_UP, 5626
Link, AS_chicon, L2-HOST8-LINK11, 0.000000, 0.000000, 0.000000, topology, chicon-7.lille.grid5000.fr, AS_chicon_link_7_UP, 5628
Link, AS_chicon, L2-HOST8-LINK11, 0.000000, 0.000000, 0.000000, topology, chicon-1.lille.grid5000.fr, AS_chicon_link_1_DOWN, 5634
Link, AS_chicon, L2-HOST8-LINK11, 0.000000, 0.000000, 0.000000, topology, chicon-11.lille.grid5000.fr, AS_chicon_link_11_DOWN, 5636
Link, AS_chicon, L2-HOST8-LINK11, 0.000000, 0.000000, 0.000000, topology, chicon-21.lille.grid5000.fr, AS_chicon_link_21_DOWN, 5638
Link, AS_chicon, L2-HOST8-LINK11, 0.000000, 0.000000, 0.000000, topology, chicon-13.lille.grid5000.fr, AS_chicon_link_13_DOWN, 5639
Link, AS_chicon, L2-HOST8-LINK11, 0.000000, 0.000000, 0.000000, topology, chicon-5.lille.grid5000.fr, AS_chicon_link_5_DOWN, 5640
Link, AS_chicon, L2-HOST8-LINK11, 0.000000, 0.000000, 0.000000, topology, chicon-23.lille.grid5000.fr, AS_chicon_link_23_DOWN, 5642
Link, AS_chicon, L2-HOST8-LINK11, 0.000000, 0.000000, 0.000000, topology, chicon-15.lille.grid5000.fr, AS_chicon_link_15_DOWN, 5644
Link, AS_chicon, L2-HOST8-LINK11, 0.000000, 0.000000, 0.000000, topology, chicon-25.lille.grid5000.fr, AS_chicon_link_25_DOWN, 5647
Link, AS_chicon, L2-HOST8-LINK11, 0.000000, 0.000000, 0.000000, topology, chicon-10.lille.grid5000.fr, AS_chicon_link_10_UP, 5648
Link, AS_chicon, L2-HOST8-LINK11, 0.000000, 0.000000, 0.000000, topology, chicon-17.lille.grid5000.fr, AS_chicon_link_17_DOWN, 5650
Link, AS_chicon, L2-LINK11-LINK11, 0.000000, 0.000000, 0.000000, topology, AS_chicon_link_7_DOWN, AS_chicon_backbone, 5548
Link, AS_chicon, L2-LINK11-LINK11, 0.000000, 0.000000, 0.000000, topology, AS_chicon_link_19_UP, AS_chicon_backbone, 5550
