State, 100030591, BLOCK, 646.529976, 646.566404, 0.036428, 0.000000, AGGREGATION
State, 100030591, BLOCK, 646.566404, 661.566404, 15.000000, 0.000000, COMPUTATION
State, 100030591, BLOCK, 661.566404, 661.602832, 0.036428, 0.000000, AGGREGATION
State, 100030591, BLOCK, 661.602832, 676.602832, 15.000000, 0.000000, COMPUTATION
State, 100030591, BLOCK, 676.602832, 676.639260, 0.036428, 0.000000, AGGREGATION
State, 100030591, BLOCK, 676.639260, 691.639260, 15.000000, 0.000000, COMPUTATION
State, 100030591, BLOCK, 691.639260, 691.675688, 0.036428, 0.000000, AGGREGATION
State, 100030591, BLOCK, 691.675688, 706.675688, 15.000000, 0.000000, COMPUTATION
State, 100030591, BLOCK, 706.675688, 706.712116, 0.036428, 0.000000, AGGREGATION
State, 100030591, BLOCK, 706.712116, 721.712116, 15.000000, 0.000000, COMPUTATION
State, 100030591, BLOCK, 721.712116, 721.748544, 0.036428, 0.000000, AGGREGATION
State, 100030591, BLOCK, 721.748544, 736.748544, 15.000000, 0.000000, COMPUTATION
State, 100030591, BLOCK, 736.748544, 736.784972, 0.036428, 0.000000, AGGREGATION
State, 100030591, BLOCK, 736.784972, 751.784972, 15.000000, 0.000000, COMPUTATION
State, 100030591, BLOCK, 751.784972, 751.821400, 0.036428, 0.000000, AGGREGATION
State, 100030591, BLOCK, 751.821400, 766.821400, 15.000000, 0.000000, COMPUTATION
State, 100030591, BLOCK, 766.821400, 766.857828, 0.036428, 0.000000, AGGREGATION
State, 100030591, BLOCK, 766.857828, 781.857828, 15.000000, 0.000000, COMPUTATION
State, 100030591, BLOCK, 781.857828, 781.894256, 0.036428, 0.000000, AGGREGATION
State, 100030591, BLOCK, 781.894256, 796.894256, 15.000000, 0.000000, COMPUTATION
State, 100030591, BLOCK, 796.894256, 796.930684, 0.036428, 0.000000, AGGREGATION
State, 100030591, BLOCK, 796.930684, 811.930684, 15.000000, 0.000000, COMPUTATION
State, 100030591, BLOCK, 811.930684, 811.967112, 0.036428, 0.000000, AGGREGATION
State, 100030591, BLOCK, 811.967112, 818.707375, 6.740263, 0.000000, COMPUTATION
State, 100030591, MAP, 15.036428, 15.638774, 0.602346, 0.000000, START
State, 100030591, MAP, 15.638774, 16.384287, 0.745513, 0.000000, START
State, 100030591, MAP, 16.384287, 16.687684, 0.303397, 0.000000, START
